mathMarks,scienceMarks,englishMarks,socialScienceMarks,itMarks,learningStyle,careerInclination,stream
49,70,68,70,37,Creative,Arts,Humanities
64,51,88,56,52,Practical,Finance,Commerce
68,81,73,63,70,Research,Technology,BioIP
72,51,65,70,59,Practical,Technology,Commerce
76,65,65,51,75,Research,Skilled,CS
85,92,83,67,84,Practical,Medical,BioIP
76,68,67,54,64,Practical,Technology,Commerce
53,71,87,61,70,Research,Medical,BioIP
48,43,83,73,39,Creative,Civics,Humanities
45,63,66,97,30,Creative,Civics,Humanities
79,72,58,63,78,Theoretical,Technology,CS
83,45,50,76,76,Theoretical,Finance,Commerce
61,77,89,60,86,Practical,Medical,BioIP
75,83,77,65,53,Practical,Medical,BioIP
51,79,57,70,68,Practical,Technology,BioIP
34,30,61,85,30,Creative,Civics,Humanities
65,76,58,67,53,Theoretical,Medical,Bio
71,91,57,61,74,Practical,Medical,BioIP
74,43,71,50,66,Practical,Skilled,Commerce
84,81,75,62,81,Practical,Creative,CS
97,83,46,46,88,Research,Creative,CS
52,77,90,50,54,Research,Medical,BioIP
67,68,83,50,48,Theoretical,Finance,Commerce
80,76,67,49,73,Research,Medical,BioIP
67,62,58,65,56,Theoretical,Technology,Commerce
70,67,60,81,56,Creative,Civics,Humanities
94,94,50,55,72,Research,Technology,CS
73,83,54,50,66,Research,Medical,Bio
40,46,64,80,53,Theoretical,Arts,Humanities
64,85,78,48,56,Practical,Technology,BioIP
46,50,78,72,35,Theoretical,Arts,Humanities
31,58,71,98,51,Creative,Civics,Humanities
86,88,67,38,72,Theoretical,Technology,CS
58,76,59,66,86,Practical,Technology,BioIP
36,38,98,89,34,Theoretical,Arts,Humanities
36,39,88,93,40,Theoretical,Civics,Humanities
96,84,42,47,100,Theoretical,Skilled,CS
88,99,77,50,94,Theoretical,Technology,CS
66,90,62,58,57,Theoretical,Medical,Bio
69,56,67,62,60,Theoretical,Technology,Commerce
51,65,77,71,33,Theoretical,Civics,Humanities
55,45,64,93,38,Theoretical,Arts,Humanities
94,96,59,68,98,Practical,Creative,CS
35,59,99,97,34,Theoretical,Arts,Humanities
51,98,57,51,73,Practical,Technology,BioIP
73,73,74,31,99,Practical,Technology,CS
82,71,62,59,85,Research,Technology,BioIP
39,40,83,100,44,Creative,Arts,Humanities
44,43,99,82,57,Creative,Arts,Humanities
74,64,60,64,85,Research,Technology,CS
71,78,74,61,58,Research,Medical,Bio
51,78,74,61,48,Theoretical,Medical,Bio
53,80,59,42,41,Research,Medical,Bio
75,99,67,48,44,Theoretical,Medical,Bio
78,79,52,42,35,Research,Medical,Bio
89,44,70,76,40,Practical,Technology,Commerce
80,89,67,40,69,Theoretical,Skilled,Bio
68,93,50,54,67,Theoretical,Skilled,Bio
61,100,78,41,87,Research,Technology,BioIP
68,89,63,68,88,Practical,Technology,BioIP
71,79,76,57,66,Theoretical,Medical,Bio
51,82,59,66,81,Research,Technology,BioIP
56,61,79,89,34,Creative,Civics,Humanities
79,47,88,79,62,Practical,Finance,Commerce
100,91,67,39,81,Practical,Technology,CS
77,91,76,53,47,Research,Skilled,Bio
50,86,54,42,67,Practical,Technology,BioIP
70,68,71,39,70,Theoretical,Technology,CS
44,63,63,76,56,Theoretical,Arts,Humanities
74,49,54,76,67,Practical,Skilled,Commerce
75,77,61,49,62,Theoretical,Skilled,Bio
77,76,59,62,44,Research,Skilled,Bio
51,71,81,58,83,Research,Technology,BioIP
91,72,46,44,84,Theoretical,Skilled,CS
54,77,60,46,77,Practical,Technology,BioIP
71,88,50,36,82,Theoretical,Creative,CS
71,95,64,63,63,Practical,Technology,BioIP
77,73,65,63,58,Research,Medical,Bio
60,43,67,75,45,Practical,Skilled,Commerce
70,98,67,43,75,Theoretical,Creative,CS
85,60,57,62,42,Theoretical,Finance,Commerce
90,87,43,48,91,Practical,Creative,CS
84,85,76,44,56,Research,Technology,BioIP
68,72,73,55,49,Theoretical,Skilled,Bio
79,87,83,41,70,Practical,Medical,BioIP
59,89,86,59,80,Practical,Medical,BioIP
79,83,75,63,91,Research,Creative,CS
66,70,78,62,34,Research,Skilled,Bio
61,91,53,57,63,Research,Skilled,Bio
88,83,55,66,81,Practical,Technology,CS
49,41,92,85,47,Creative,Arts,Humanities
66,78,63,45,56,Practical,Medical,BioIP
59,68,83,83,30,Creative,Arts,Humanities
70,41,94,75,30,Creative,Arts,Humanities
78,42,75,64,65,Theoretical,Technology,Commerce
77,97,41,33,100,Theoretical,Skilled,CS
93,94,50,67,90,Practical,Creative,CS
83,55,86,59,80,Theoretical,Skilled,Commerce
69,60,73,63,41,Theoretical,Skilled,Commerce
72,93,50,52,57,Research,Skilled,Bio
58,95,84,56,73,Practical,Medical,BioIP
64,94,64,57,68,Theoretical,Medical,Bio
58,85,71,41,40,Theoretical,Skilled,Bio
99,66,60,46,77,Practical,Skilled,CS
76,91,55,51,50,Practical,Technology,BioIP
